epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2944,1.18718,4.15401,1.06238,0.05362,0.7824,0.21551,0.15072,1.02034,3.4225,0.90009,0.00010659,0.00010659,0.00010659
2,48.1503,1.12571,2.52526,1.06253,0.7568,0.74792,0.81657,0.58444,1.09212,1.25969,1.09181,0.000210014,0.000210014,0.000210014
3,73.0525,1.12683,1.49574,1.1109,0.93979,0.90991,0.96799,0.69898,1.09429,0.82088,1.12156,0.000309175,0.000309175,0.000309175
4,94.6711,1.07902,1.14745,1.08992,0.95878,0.96078,0.9797,0.7043,1.06295,0.69971,1.08392,0.000303814,0.000303814,0.000303814
5,116.71,1.05472,1.00959,1.07776,0.968,0.97392,0.98197,0.72272,1.00608,0.64983,1.06952,0.000297418,0.000297418,0.000297418
6,138.384,1.03521,0.94025,1.06891,0.97058,0.98014,0.98389,0.72113,1.02569,0.63966,1.09119,0.000291023,0.000291023,0.000291023
7,159.14,1.02783,0.90309,1.05648,0.97383,0.98326,0.98671,0.72184,1.00497,0.58846,1.07543,0.000284628,0.000284628,0.000284628
8,179.997,1.01703,0.8609,1.0579,0.97779,0.97881,0.9843,0.7231,1.00359,0.59974,1.07051,0.000278232,0.000278232,0.000278232
9,203.748,1.01524,0.82597,1.05437,0.98039,0.98078,0.98487,0.72732,0.99166,0.58046,1.06503,0.000271837,0.000271837,0.000271837
10,228.068,0.99701,0.81243,1.05205,0.97678,0.97942,0.98885,0.7285,0.99884,0.57692,1.07767,0.000265441,0.000265441,0.000265441
11,251.97,1.00694,0.7922,1.05296,0.97566,0.98282,0.98728,0.72856,0.96414,0.56513,1.07758,0.000259046,0.000259046,0.000259046
12,275.067,0.97928,0.78325,1.05163,0.97818,0.98379,0.98562,0.73099,0.9814,0.56475,1.07246,0.000252651,0.000252651,0.000252651
13,298.391,0.96767,0.76449,1.04558,0.97752,0.98459,0.98847,0.73361,0.96831,0.53316,1.06058,0.000246255,0.000246255,0.000246255
14,319.234,0.9647,0.74429,1.03956,0.9766,0.98357,0.98743,0.73445,0.98112,0.54659,1.06753,0.00023986,0.00023986,0.00023986
15,340.895,0.96805,0.72975,1.04489,0.98051,0.98792,0.9875,0.73646,0.98044,0.53369,1.06856,0.000233464,0.000233464,0.000233464
16,362.554,0.96039,0.71224,1.04016,0.97751,0.98169,0.9848,0.72336,0.98822,0.54608,1.08895,0.000227069,0.000227069,0.000227069
17,383.858,0.94983,0.70642,1.03383,0.97684,0.98608,0.9861,0.73827,0.96247,0.5209,1.05965,0.000220674,0.000220674,0.000220674
18,405.356,0.95205,0.6983,1.03683,0.97585,0.98382,0.98495,0.72752,0.99848,0.53592,1.07397,0.000214278,0.000214278,0.000214278
19,427.03,0.95118,0.68097,1.03065,0.9757,0.98665,0.98712,0.7325,0.98455,0.5113,1.07099,0.000207883,0.000207883,0.000207883
20,448.271,0.94488,0.66989,1.03007,0.97927,0.98512,0.98723,0.73285,0.97146,0.5105,1.06742,0.000201487,0.000201487,0.000201487
21,470.091,0.9413,0.66515,1.03983,0.97633,0.98775,0.98781,0.73799,0.95913,0.50108,1.06476,0.000195092,0.000195092,0.000195092
22,491.752,0.93257,0.65764,1.02526,0.97944,0.98611,0.98692,0.73866,0.96047,0.51052,1.06947,0.000188697,0.000188697,0.000188697
23,512.684,0.92637,0.63574,1.01746,0.98035,0.98556,0.98682,0.73009,1.01391,0.51381,1.08711,0.000182301,0.000182301,0.000182301
24,534.093,0.93859,0.64783,1.02662,0.97999,0.98264,0.98991,0.73657,1.00348,0.49461,1.06802,0.000175906,0.000175906,0.000175906
25,555.395,0.9235,0.62708,1.02211,0.97875,0.98825,0.98695,0.73543,0.9758,0.49429,1.08042,0.00016951,0.00016951,0.00016951
26,577.047,0.92171,0.62538,1.02624,0.97965,0.98421,0.98768,0.73117,1.00798,0.50912,1.08706,0.000163115,0.000163115,0.000163115
27,599.422,0.9202,0.61921,1.0249,0.97865,0.98813,0.98741,0.74286,0.96174,0.48079,1.06093,0.00015672,0.00015672,0.00015672
28,621.006,0.91336,0.61584,1.01911,0.97739,0.98896,0.98683,0.74048,0.95629,0.47846,1.08584,0.000150324,0.000150324,0.000150324
29,642.526,0.91383,0.61056,1.02369,0.9807,0.989,0.98847,0.73319,0.99754,0.48084,1.07409,0.000143929,0.000143929,0.000143929
30,662.959,0.90206,0.59955,1.01536,0.97754,0.98765,0.98925,0.7399,0.96416,0.47133,1.07534,0.000137533,0.000137533,0.000137533
31,683.744,0.90747,0.58936,1.01989,0.98271,0.98339,0.98919,0.73993,0.9854,0.47356,1.06964,0.000131138,0.000131138,0.000131138
32,705.806,0.90331,0.59161,1.01464,0.98054,0.98924,0.98956,0.74016,0.98182,0.46501,1.06662,0.000124743,0.000124743,0.000124743
33,728.148,0.89017,0.57592,1.00977,0.97892,0.98921,0.98844,0.73631,0.98043,0.46584,1.09105,0.000118347,0.000118347,0.000118347
34,749.808,0.89635,0.57449,1.01667,0.98035,0.98645,0.98974,0.73946,0.99273,0.46239,1.0784,0.000111952,0.000111952,0.000111952
35,771.215,0.88508,0.57529,1.00953,0.98101,0.98871,0.98881,0.74042,0.96476,0.45561,1.08209,0.000105556,0.000105556,0.000105556
36,793.066,0.87825,0.56248,1.00716,0.98203,0.98629,0.98854,0.73518,1.00962,0.4639,1.08207,9.9161e-05,9.9161e-05,9.9161e-05
37,815.16,0.87827,0.55921,1.00627,0.98046,0.98786,0.98882,0.74089,0.98714,0.45642,1.0782,9.27656e-05,9.27656e-05,9.27656e-05
38,836.635,0.87385,0.55634,1.00709,0.98142,0.98851,0.9894,0.74507,0.977,0.4483,1.07508,8.63702e-05,8.63702e-05,8.63702e-05
39,857.792,0.86642,0.54828,1.00072,0.97949,0.99023,0.98819,0.74155,0.97838,0.45185,1.07698,7.99748e-05,7.99748e-05,7.99748e-05
40,879.414,0.86056,0.54333,1.00223,0.97924,0.98959,0.98741,0.73716,0.98693,0.45194,1.08068,7.35794e-05,7.35794e-05,7.35794e-05
41,942.832,0.85515,0.52982,1.01403,0.97949,0.98489,0.98869,0.73525,0.98562,0.45227,1.08132,6.7184e-05,6.7184e-05,6.7184e-05
42,962.323,0.83547,0.51555,0.99828,0.98018,0.98728,0.98801,0.73836,0.9725,0.44623,1.07882,6.07886e-05,6.07886e-05,6.07886e-05
43,981.765,0.82367,0.50656,0.99389,0.97962,0.98799,0.98749,0.74126,0.97352,0.44155,1.08619,5.43932e-05,5.43932e-05,5.43932e-05
44,1001.15,0.82512,0.49611,0.99017,0.97475,0.9921,0.98797,0.73736,0.99268,0.44422,1.08575,4.79978e-05,4.79978e-05,4.79978e-05
45,1020.57,0.81665,0.4977,0.99595,0.98073,0.98861,0.98834,0.7393,0.98429,0.43808,1.08556,4.16024e-05,4.16024e-05,4.16024e-05
46,1039.75,0.80689,0.49047,0.98662,0.98027,0.9892,0.98779,0.73707,0.99136,0.43779,1.08448,3.5207e-05,3.5207e-05,3.5207e-05
47,1059.25,0.81219,0.48075,0.98955,0.98038,0.98985,0.98864,0.73995,0.98688,0.43454,1.08008,2.88116e-05,2.88116e-05,2.88116e-05
48,1078.69,0.79418,0.47645,0.98247,0.98199,0.98777,0.98867,0.73799,1.00727,0.43517,1.08548,2.24162e-05,2.24162e-05,2.24162e-05
49,1098.4,0.79621,0.47618,0.98125,0.98087,0.98875,0.98825,0.73508,1.00183,0.43659,1.08565,1.60208e-05,1.60208e-05,1.60208e-05
