epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.945,0.71155,1.88222,0.90613,0.97339,0.95568,0.97449,0.79832,0.67484,1.99903,0.87416,0.000660131,0.000660131,0.000660131
2,60.0982,0.72308,0.99819,0.91118,0.98206,0.962,0.98879,0.80665,0.6647,0.70291,0.90171,0.00128301,0.00128301,0.00128301
3,84.7194,0.70284,0.76322,0.91031,0.93175,0.95487,0.96021,0.77818,0.66482,0.76217,0.91986,0.0018619,0.0018619,0.0018619
4,109.03,0.66446,0.62018,0.90363,0.9826,0.9715,0.98819,0.82511,0.63054,0.46174,0.88253,0.001802,0.001802,0.001802
5,133.438,0.64413,0.53616,0.89513,0.97973,0.981,0.98888,0.83932,0.59692,0.45419,0.88104,0.001736,0.001736,0.001736
6,161.644,0.6248,0.48861,0.89252,0.99209,0.9715,0.99181,0.83973,0.5912,0.39304,0.87427,0.00167,0.00167,0.00167
7,189.637,0.61346,0.4612,0.88955,0.97964,0.96675,0.9849,0.85281,0.57208,0.41312,0.87046,0.001604,0.001604,0.001604
8,213.784,0.60805,0.44076,0.88163,0.97864,0.97928,0.9939,0.86927,0.55324,0.3703,0.86071,0.001538,0.001538,0.001538
9,237.042,0.58784,0.41827,0.87783,0.98566,0.97943,0.99391,0.85218,0.5944,0.35381,0.86902,0.001472,0.001472,0.001472
10,260.222,0.58169,0.41054,0.87939,0.98812,0.9875,0.99419,0.87027,0.5314,0.34739,0.85393,0.001406,0.001406,0.001406
11,282.14,0.57048,0.39428,0.87346,0.9808,0.97065,0.98904,0.85895,0.53191,0.35656,0.85343,0.00134,0.00134,0.00134
12,304.206,0.57024,0.38261,0.86973,0.98559,0.97449,0.99284,0.87642,0.51437,0.33665,0.85106,0.001274,0.001274,0.001274
13,326.534,0.55766,0.36964,0.8734,0.99398,0.98337,0.99474,0.88054,0.52113,0.30224,0.84865,0.001208,0.001208,0.001208
14,348.665,0.54618,0.36631,0.87169,0.98318,0.97183,0.994,0.86079,0.5423,0.34789,0.85846,0.001142,0.001142,0.001142
15,370.71,0.54291,0.35544,0.85837,0.98679,0.98812,0.99462,0.88802,0.50379,0.30497,0.84015,0.001076,0.001076,0.001076
16,393.132,0.54003,0.34963,0.86138,0.98578,0.98807,0.99438,0.8757,0.5123,0.30261,0.84511,0.00101,0.00101,0.00101
17,414.719,0.53607,0.34604,0.86861,0.99047,0.98733,0.99419,0.88974,0.49344,0.29476,0.84099,0.000944,0.000944,0.000944
18,436.596,0.51282,0.32904,0.85541,0.98815,0.99017,0.99464,0.89323,0.4824,0.28329,0.8345,0.000878,0.000878,0.000878
19,459.264,0.51465,0.32605,0.85579,0.98352,0.99252,0.99464,0.89324,0.49857,0.29044,0.84044,0.000812,0.000812,0.000812
20,481.976,0.5142,0.32903,0.85474,0.99251,0.99525,0.99483,0.89364,0.48028,0.26861,0.83196,0.000746,0.000746,0.000746
21,546.193,0.47724,0.28938,0.83516,0.98817,0.9923,0.99479,0.88855,0.49316,0.28816,0.83199,0.00068,0.00068,0.00068
22,567.867,0.4787,0.28365,0.83149,0.98219,0.9905,0.99464,0.89537,0.47686,0.27498,0.83431,0.000614,0.000614,0.000614
23,590.208,0.45944,0.27831,0.82361,0.97378,0.99525,0.99411,0.89787,0.47829,0.27441,0.82893,0.000548,0.000548,0.000548
24,612.378,0.46568,0.27466,0.83592,0.98818,0.99256,0.99457,0.89998,0.46691,0.27612,0.82986,0.000482,0.000482,0.000482
25,635.608,0.4545,0.26965,0.82214,0.99006,0.99762,0.99481,0.90145,0.4656,0.26608,0.82763,0.000416,0.000416,0.000416
26,659.716,0.44021,0.2565,0.82517,0.98814,0.98964,0.99471,0.91179,0.44281,0.25063,0.82266,0.00035,0.00035,0.00035
27,686.023,0.43218,0.25366,0.82309,0.98349,0.99525,0.99472,0.90972,0.4369,0.24488,0.8244,0.000284,0.000284,0.000284
28,709.273,0.42509,0.24327,0.81969,0.98357,0.99521,0.99472,0.91639,0.43696,0.23777,0.82388,0.000218,0.000218,0.000218
29,732.253,0.42312,0.23844,0.81545,0.98583,0.99149,0.99474,0.91842,0.42411,0.22591,0.82001,0.000152,0.000152,0.000152
30,754.964,0.40991,0.22606,0.81375,0.98418,0.99525,0.99479,0.92083,0.41956,0.2205,0.81793,8.6e-05,8.6e-05,8.6e-05
